panel_id,level,source_plan,slab_id,polygon,area_m2,holes,hole_status,thickness_m,qG_kN_m2,status,template,notes
L2_P_RB_c0_r0,L2,2024_22-101-Model,S_L2_TYP,"11.250000,0.000000;16.250000,0.000000;16.250000,8.900000;11.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c0_r1,L2,2024_22-101-Model,S_L2_TYP,"11.250000,8.900000;16.250000,8.900000;16.250000,16.150000;11.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c1_r0,L2,2024_22-101-Model,S_L2_TYP,"16.250000,0.000000;21.250000,0.000000;21.250000,8.900000;16.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c1_r1,L2,2024_22-101-Model,S_L2_TYP,"16.250000,8.900000;21.250000,8.900000;21.250000,16.150000;16.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c2_r0,L2,2024_22-101-Model,S_L2_TYP,"21.250000,0.000000;26.250000,0.000000;26.250000,8.900000;21.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c2_r1,L2,2024_22-101-Model,S_L2_TYP,"21.250000,8.900000;26.250000,8.900000;26.250000,16.150000;21.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L2_P_RB_c3_r0,L2,2024_22-101-Model,S_L2_TYP,"26.250000,0.000000;31.250000,0.000000;31.250000,8.900000;26.250000,8.900000",35.075725,"28.205000,3.180000;31.250000,3.180000;31.250000,6.275000;28.205000,6.275000",CONFIRMED;PENDING_GEOMETRY_CONFIRMATION,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA losa 15 cm con abertura(s) de nucleo (plan 101); espesor 15 cm; hole_pending=abertura rectangular alargada adyacente al nucleo derecho (RB_c3_r0); coordenadas por confirmar en plan 101
L2_P_RB_c3_r1,L2,2024_22-101-Model,S_L2_TYP,"26.250000,8.900000;31.250000,8.900000;31.250000,16.150000;26.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c0_r0,L3,2024_22-101-Model,S_L3_TYP,"0.400000,0.000000;3.750000,0.000000;3.750000,4.265000;0.400000,4.265000",14.28775,,,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA simbolo losa 0101/15 (plan 101); espesor 15 cm
L3_P_LB_c0_r1,L3,2024_22-101-Model,S_L3_TYP,"0.400000,4.265000;3.750000,4.265000;3.750000,8.900000;0.400000,8.900000",15.52725,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c0_r2,L3,2024_22-101-Model,S_L3_TYP,"0.400000,8.900000;3.750000,8.900000;3.750000,11.885000;0.400000,11.885000",9.99975,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c0_r3,L3,2024_22-101-Model,S_L3_TYP,"0.400000,11.885000;3.750000,11.885000;3.750000,16.150000;0.400000,16.150000",14.28775,,,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA simbolo losa 0114/15 (plan 101); espesor 15 cm
L3_P_LB_c1_r0,L3,2024_22-101-Model,S_L3_TYP,"3.750000,0.000000;7.500000,0.000000;7.500000,4.265000;3.750000,4.265000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c1_r1,L3,2024_22-101-Model,S_L3_TYP,"3.750000,4.265000;7.500000,4.265000;7.500000,8.900000;3.750000,8.900000",17.38125,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c1_r2,L3,2024_22-101-Model,S_L3_TYP,"3.750000,8.900000;7.500000,8.900000;7.500000,11.885000;3.750000,11.885000",11.19375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c1_r3,L3,2024_22-101-Model,S_L3_TYP,"3.750000,11.885000;7.500000,11.885000;7.500000,16.150000;3.750000,16.150000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c2_r0,L3,2024_22-101-Model,S_L3_TYP,"7.500000,0.000000;11.250000,0.000000;11.250000,4.265000;7.500000,4.265000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c2_r1,L3,2024_22-101-Model,S_L3_TYP,"7.500000,4.265000;11.250000,4.265000;11.250000,8.900000;7.500000,8.900000",17.38125,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c2_r2,L3,2024_22-101-Model,S_L3_TYP,"7.500000,8.900000;11.250000,8.900000;11.250000,11.885000;7.500000,11.885000",11.19375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_LB_c2_r3,L3,2024_22-101-Model,S_L3_TYP,"7.500000,11.885000;11.250000,11.885000;11.250000,16.150000;7.500000,16.150000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c0_r0,L3,2024_22-101-Model,S_L3_TYP,"11.250000,0.000000;16.250000,0.000000;16.250000,8.900000;11.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c0_r1,L3,2024_22-101-Model,S_L3_TYP,"11.250000,8.900000;16.250000,8.900000;16.250000,16.150000;11.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c1_r0,L3,2024_22-101-Model,S_L3_TYP,"16.250000,0.000000;21.250000,0.000000;21.250000,8.900000;16.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c1_r1,L3,2024_22-101-Model,S_L3_TYP,"16.250000,8.900000;21.250000,8.900000;21.250000,16.150000;16.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c2_r0,L3,2024_22-101-Model,S_L3_TYP,"21.250000,0.000000;26.250000,0.000000;26.250000,8.900000;21.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c2_r1,L3,2024_22-101-Model,S_L3_TYP,"21.250000,8.900000;26.250000,8.900000;26.250000,16.150000;21.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L3_P_RB_c3_r0,L3,2024_22-101-Model,S_L3_TYP,"26.250000,0.000000;31.250000,0.000000;31.250000,8.900000;26.250000,8.900000",35.075725,"28.205000,3.180000;31.250000,3.180000;31.250000,6.275000;28.205000,6.275000",CONFIRMED;PENDING_GEOMETRY_CONFIRMATION,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA losa 15 cm con abertura(s) de nucleo (plan 101); espesor 15 cm; hole_pending=abertura rectangular alargada adyacente al nucleo derecho (RB_c3_r0); coordenadas por confirmar en plan 101
L3_P_RB_c3_r1,L3,2024_22-101-Model,S_L3_TYP,"26.250000,8.900000;31.250000,8.900000;31.250000,16.150000;26.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c0_r0,L4,2024_22-101-Model,S_L4_TYP,"0.400000,0.000000;3.750000,0.000000;3.750000,4.265000;0.400000,4.265000",14.28775,,,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA simbolo losa 0101/15 (plan 101); espesor 15 cm
L4_P_LB_c0_r1,L4,2024_22-101-Model,S_L4_TYP,"0.400000,4.265000;3.750000,4.265000;3.750000,8.900000;0.400000,8.900000",15.52725,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c0_r2,L4,2024_22-101-Model,S_L4_TYP,"0.400000,8.900000;3.750000,8.900000;3.750000,11.885000;0.400000,11.885000",9.99975,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c0_r3,L4,2024_22-101-Model,S_L4_TYP,"0.400000,11.885000;3.750000,11.885000;3.750000,16.150000;0.400000,16.150000",14.28775,,,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA simbolo losa 0114/15 (plan 101); espesor 15 cm
L4_P_LB_c1_r0,L4,2024_22-101-Model,S_L4_TYP,"3.750000,0.000000;7.500000,0.000000;7.500000,4.265000;3.750000,4.265000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c1_r1,L4,2024_22-101-Model,S_L4_TYP,"3.750000,4.265000;7.500000,4.265000;7.500000,8.900000;3.750000,8.900000",17.38125,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c1_r2,L4,2024_22-101-Model,S_L4_TYP,"3.750000,8.900000;7.500000,8.900000;7.500000,11.885000;3.750000,11.885000",11.19375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c1_r3,L4,2024_22-101-Model,S_L4_TYP,"3.750000,11.885000;7.500000,11.885000;7.500000,16.150000;3.750000,16.150000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c2_r0,L4,2024_22-101-Model,S_L4_TYP,"7.500000,0.000000;11.250000,0.000000;11.250000,4.265000;7.500000,4.265000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c2_r1,L4,2024_22-101-Model,S_L4_TYP,"7.500000,4.265000;11.250000,4.265000;11.250000,8.900000;7.500000,8.900000",17.38125,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c2_r2,L4,2024_22-101-Model,S_L4_TYP,"7.500000,8.900000;11.250000,8.900000;11.250000,11.885000;7.500000,11.885000",11.19375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_LB_c2_r3,L4,2024_22-101-Model,S_L4_TYP,"7.500000,11.885000;11.250000,11.885000;11.250000,16.150000;7.500000,16.150000",15.99375,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c0_r0,L4,2024_22-101-Model,S_L4_TYP,"11.250000,0.000000;16.250000,0.000000;16.250000,8.900000;11.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c0_r1,L4,2024_22-101-Model,S_L4_TYP,"11.250000,8.900000;16.250000,8.900000;16.250000,16.150000;11.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c1_r0,L4,2024_22-101-Model,S_L4_TYP,"16.250000,0.000000;21.250000,0.000000;21.250000,8.900000;16.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c1_r1,L4,2024_22-101-Model,S_L4_TYP,"16.250000,8.900000;21.250000,8.900000;21.250000,16.150000;16.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c2_r0,L4,2024_22-101-Model,S_L4_TYP,"21.250000,0.000000;26.250000,0.000000;26.250000,8.900000;21.250000,8.900000",44.5,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c2_r1,L4,2024_22-101-Model,S_L4_TYP,"21.250000,8.900000;26.250000,8.900000;26.250000,16.150000;21.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
L4_P_RB_c3_r0,L4,2024_22-101-Model,S_L4_TYP,"26.250000,0.000000;31.250000,0.000000;31.250000,8.900000;26.250000,8.900000",35.075725,"28.205000,3.180000;31.250000,3.180000;31.250000,6.275000;28.205000,6.275000",CONFIRMED;PENDING_GEOMETRY_CONFIRMATION,0.15,6.22935,CONFIRMED_SLAB,TYP,LOSA losa 15 cm con abertura(s) de nucleo (plan 101); espesor 15 cm; hole_pending=abertura rectangular alargada adyacente al nucleo derecho (RB_c3_r0); coordenadas por confirmar en plan 101
L4_P_RB_c3_r1,L4,2024_22-101-Model,S_L4_TYP,"26.250000,8.900000;31.250000,8.900000;31.250000,16.150000;26.250000,16.150000",36.25,,,0.15,6.22935,PENDING_VISUAL_CONFIRMATION,TYP,paño derivado por descomposicion automatica de grilla (plan 101); sin confirmacion visual individual
ROOF_P_LB_c0_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"0.400000,0.000000;3.750000,0.000000;3.750000,4.265000;0.400000,4.265000",10.53127,"0.998000,2.900000;3.750000,2.900000;3.750000,4.265000;0.998000,4.265000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c0_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"0.400000,4.265000;3.750000,4.265000;3.750000,8.900000;0.400000,8.900000",5.46869,"0.998000,4.265000;3.750000,4.265000;3.750000,7.920000;0.998000,7.920000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c0_r2,ROOF,2024_22-102-Model,S_ROOF_TYP,"0.400000,8.900000;3.750000,8.900000;3.750000,11.885000;0.400000,11.885000",9.99975,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_LB_c0_r3,ROOF,2024_22-102-Model,S_ROOF_TYP,"0.400000,11.885000;3.750000,11.885000;3.750000,16.150000;0.400000,16.150000",14.28775,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_LB_c1_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"3.750000,0.000000;7.500000,0.000000;7.500000,4.265000;3.750000,4.265000",10.875,"3.750000,2.900000;7.500000,2.900000;7.500000,4.265000;3.750000,4.265000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c1_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"3.750000,4.265000;7.500000,4.265000;7.500000,8.900000;3.750000,8.900000",3.675,"3.750000,4.265000;7.500000,4.265000;7.500000,7.920000;3.750000,7.920000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c1_r2,ROOF,2024_22-102-Model,S_ROOF_TYP,"3.750000,8.900000;7.500000,8.900000;7.500000,11.885000;3.750000,11.885000",11.19375,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
