elementTag,building,bar_type,bar_count,diameter_mm,layer,status,source,resolution,geometry_pending,note
3011,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3012,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3013,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3014,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3015,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3016,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3017,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3018,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3019,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3020,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3021,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3022,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3023,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3024,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3025,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3026,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3027,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3028,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3029,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3030,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3031,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3032,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3033,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3034,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3035,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3036,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3037,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3038,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3039,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3040,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3041,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3042,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3043,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3044,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3045,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3046,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3047,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3048,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3049,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
3050,LT2,LONGITUDINAL,16,22,LONGITUDINAL,EXACT,USER_CONFIRMED_DRAWING_DATA,RESOLVED,True,"Todas las columnas LT2: 16 Φ22 longitudinales. No se inventan estribos, recubrimiento ni distribucion transversal de las 16 barras (no definida); la geometria 3D queda pendiente hasta confirmar seccion/cubierta."
