code,building,drawing,sheet,beam_ids,physical_bar_id,bar_layer,bar_count,diameter_mm,length_cm,start_axis,end_axis,start_station_cm,end_station_cm,anchor_left_cm,anchor_right_cm,continuity_across_support,detail_reference,confidence,source,classification,beam_kind,note,resolution,zone_type,spacing_cm,count
LT1:400:17,LT1,2017_67-400-Model,400,V101,V101-+F'-der-b,TOP_ADDITIONAL,4,22,800,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' der 4B22 L~800 cm.,RESOLVED_METADATA,,,
LT1:400:18,LT1,2017_67-400-Model,400,V101,V101-+F'-der-c,TOP_ADDITIONAL,2,22,800,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' der 2B22 L~800 cm.,RESOLVED_METADATA,,,
LT1:400:19,LT1,2017_67-400-Model,400,V100,V100-F-base,BOTTOM_BASE,2,22,700,3,2,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F tramo 3-2 (V100) 2B22 L~700 cm.,RESOLVED_METADATA,,,
LT1:400:20,LT1,2017_67-400-Model,400,V101,V101-F-base,BOTTOM_BASE,2,22,1200,2,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F tramo 2-1 (V101) 2B22 L~1200 cm.,RESOLVED_METADATA,,,
LT1:400:23,LT1,2017_67-400-Model,400,V102,V102-F'-base,TOP_BASE,2,22,1200,3,2,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' base 3-2 (V102) L~1200 cm.,RESOLVED_METADATA,,,
LT1:400:24,LT1,2017_67-400-Model,400,V103,V103-F'-base,TOP_BASE,2,22,700,2,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' base 2-1 (V103) L~700 cm.,RESOLVED_METADATA,,,
LT1:400:25,LT1,2017_67-400-Model,400,V102,V102-+F'-a,TOP_ADDITIONAL,2,22,700,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 2B22 L~700 cm.,RESOLVED_METADATA,,,
LT1:400:26,LT1,2017_67-400-Model,400,V102;V103,V102V103-+F'-b,TOP_ADDITIONAL,2,22,1100,,,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 2B22 L~1100 cm apoyo eje 2.,RESOLVED_METADATA,,,
LT1:400:27,LT1,2017_67-400-Model,400,V102;V103,V102V103-+F'-c,TOP_ADDITIONAL,4,22,400,,,,,,,True,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 4B22 L~400 cm apoyo eje 2.,RESOLVED_METADATA,,,
LT1:400:28,LT1,2017_67-400-Model,400,V103,V103-+F'-d,TOP_ADDITIONAL,2,22,400,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 2B22 L~400 cm.,RESOLVED_METADATA,,,
LT1:400:29,LT1,2017_67-400-Model,400,V103,V103-+F'-e,TOP_ADDITIONAL,4,22,800,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 4B22 L~800 cm.,RESOLVED_METADATA,,,
LT1:400:30,LT1,2017_67-400-Model,400,V103,V103-+F'-f,TOP_ADDITIONAL,2,22,800,,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 2B22 L~800 cm.,RESOLVED_METADATA,,,
LT1:400:31,LT1,2017_67-400-Model,400,V102,V102-F-izq,BOTTOM_BASE,2,22,700,3,2,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 2B22 L~700 cm izq.,RESOLVED_METADATA,,,
LT1:400:32,LT1,2017_67-400-Model,400,V103,V103-F-der,BOTTOM_BASE,2,22,1200,2,1,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 2B22 L~1200 cm der.,RESOLVED_METADATA,,,
LT1:400:35,LT1,2017_67-400-Model,400,V104,V104-F'-base,TOP_BASE,2,22,,3,2,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' 2B22 tramo 3-2; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:36,LT1,2017_67-400-Model,400,V105,V105-F'-base,TOP_BASE,2,22,,3,2,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F' 2B22 tramo 3-2; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:37,LT1,2017_67-400-Model,400,V104;V105,V104V105-+F'-2,TOP_ADDITIONAL,2,22,,3,1,,,,,True,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 2B22 sobre apoyo eje 2; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:38,LT1,2017_67-400-Model,400,V104;V105,V104V105-+F'-4,TOP_ADDITIONAL,4,22,,3,1,,,,,True,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,+F' 4B22 sobre apoyo eje 2; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:39,LT1,2017_67-400-Model,400,V104,V104-F-base,BOTTOM_BASE,2,22,,3,2,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 2B22 por tramo; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:40,LT1,2017_67-400-Model,400,V105,V105-F-base,BOTTOM_BASE,2,22,,2,1,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 2B22 por tramo; L no transcrita.,RESOLVED_METADATA,,,
LT1:400:41,LT1,2017_67-400-Model,400,V106,V106-F-base,BOTTOM_BASE,2,16,300,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F 2B16 L~300 cm (dato transcrito).,RESOLVED_METADATA,,,
LT1:400:42,LT1,2017_67-400-Model,400,V106,V106-F'-base,TOP_BASE,,16,,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,llamadas de V106 ilegibles; confirmar en plano.,RESOLVED_METADATA,,,
LT1:400:43,LT1,2017_67-400-Model,400,V107,V107-F-base,BOTTOM_BASE,4,22,745,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,F base 4B22 L~745 cm (vano unico).,RESOLVED_METADATA,,,
LT1:400:44,LT1,2017_67-400-Model,400,V107,V107-+adicional,TOP_ADDITIONAL,,22,,,,,,,,False,,NEEDS_DRAWING_VALUE_CONFIRMATION,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,adicionales segun detalle; valores a confirmar.,RESOLVED_METADATA,,,
LT1:400:45,LT1,2017_67-400-Model,400,V108,V108-principal,BOTTOM_BASE,2,22,700,H',I,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,V108 barras principales L~700 cm.,RESOLVED_METADATA,,,
LT1:400:46,LT1,2017_67-400-Model,400,V109,V109-principal,BOTTOM_BASE,2,22,700,H',I,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,V109 barras principales L~700 cm.,RESOLVED_METADATA,,,
LT1:400:47,LT1,2017_67-400-Model,400,V111,V111-F-2,BOTTOM_BASE,2,16,400,1,1A,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,2B16 L~400 cm.,RESOLVED_METADATA,,,
LT1:400:48,LT1,2017_67-400-Model,400,V111,V111-F-4,BOTTOM_BASE,4,16,400,1,1A,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,4B16 L~400 cm.,RESOLVED_METADATA,,,
LT1:400:49,LT1,2017_67-400-Model,400,V114,V114-F,BOTTOM_BASE,,16,400,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,B16 principal L~400 cm; nº de barras no legible.,RESOLVED_METADATA,,,
LT1:402 (1):01,LT1,2017_67-402 (1)-Model,402 (1),,SECC_402-2B18,TOP_BASE,2,18,400,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,seccion especial 402: 2B18 L~400.,RESOLVED_METADATA,,,
LT1:402 (1):02,LT1,2017_67-402 (1)-Model,402 (1),,SECC_402-4B16-a,TOP_ADDITIONAL,4,16,335,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,seccion especial 402: 4B16 L~335 (1a).,RESOLVED_METADATA,,,
LT1:402 (1):03,LT1,2017_67-402 (1)-Model,402 (1),,SECC_402-4B16-b,TOP_ADDITIONAL,4,16,335,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,seccion especial 402: 4B16 L~335 (2a).,RESOLVED_METADATA,,,
LT1:402 (1):04,LT1,2017_67-402 (1)-Model,402 (1),,SECC_402-2B10,BOTTOM_ADDITIONAL,2,10,,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,seccion especial 402: adicional longitudinal 2B10 (L no transcrita).,RESOLVED_METADATA,,,
LT1:402 (1):05,LT1,2017_67-402 (1)-Model,402 (1),,SECC_402-1B10,BOTTOM_ADDITIONAL,1,10,,,,,,,,False,,EXACT,EXACT_DRAWING,BEAM_LONGITUDINAL,CONTINUOUS,seccion especial 402: adicional longitudinal 1B10 (L no transcrita).,RESOLVED_METADATA,,,
LT1:400:21,LT1,2017_67-400-Model,400,V100;V101,,,,10,,,,,,,,,TP.4_PLANO_002,EXACT,EXACT_DRAWING,,,zona TP.4; distribucion segun plano 002 (no inventada).,RESOLVED_METADATA,TP.4,,
LT1:400:22,LT1,2017_67-400-Model,400,V100;V101,,,,10,,,,,,,,,TP.1_PLANO_002,EXACT,EXACT_DRAWING,,,zona TP.1; distribucion segun plano 002 (no inventada).,RESOLVED_METADATA,TP.1,,
LT1:400:33,LT1,2017_67-400-Model,400,V102;V103,,,,10,,,,,,,,,TP.1_PLANO_002,EXACT,EXACT_DRAWING,,,distribucion segun plano 002 (no inventada).,RESOLVED_METADATA,TP.1,,
LT1:400:34,LT1,2017_67-400-Model,400,V102;V103,,,,10,,,,,,,,,TP.4_PLANO_002,EXACT,EXACT_DRAWING,,,distribucion segun plano 002 (no inventada).,RESOLVED_METADATA,TP.4,,
LT1:402 (1):06,LT1,2017_67-402 (1)-Model,402 (1),,,,,10,,,,,,,,,SECC_402,EXACT,EXACT_DRAWING,,,seccion especial 402: E B10@10 L~220.,RESOLVED_METADATA,E,10,
LT1:402 (1):07,LT1,2017_67-402 (1)-Model,402 (1),,,,,10,,,,,,,,,SECC_402,EXACT,EXACT_DRAWING,,,seccion especial 402: E B10@10 L~200.,RESOLVED_METADATA,E,10,
LT1:402 (1):08,LT1,2017_67-402 (1)-Model,402 (1),,,,,10,,,,,,,,,SECC_402,EXACT,EXACT_DRAWING,,,seccion especial 402: traba T B10@10 L~55.,RESOLVED_METADATA,T,10,
